7564 2
15584 4.718746 -0.157416
22461 6.278993 -9.229426
27244 7.896837 1.421304
28452 4.757856 -0.350680
28901 5.572012 -0.461846
29745 4.900780 -0.351209
31225 5.076818 -1.074707
37431 -11.640874 8.843941
59127 -16.204676 1.550313
59244 -2.654241 -4.898007
59283 -2.679482 -4.887286
62534 -2.691112 -4.805187
74785 -4.800802 0.653066
75916 9.332661 2.526003
79518 -2.705065 -4.798036
79761 17.493891 2.641119
81679 4.489610 3.868407
82609 -6.463143 -6.346041
83401 4.723381 -1.504187
85057 5.371671 -2.807749
88215 5.266382 -1.604738
90536 8.484687 2.153256
92678 5.987508 -1.656723
95379 16.150309 4.148520
97744 4.990312 -1.102158
99227 4.715484 -0.129189
99536 6.108962 -1.595357
319 5.902044 18.363939
38632 7.841075 -1.837963
46312 9.356059 15.002950
52791 4.453795 -1.621631
56970 -1.583076 19.302725
97121 5.059272 -0.961595
53969 1.767558 7.009991
8578 -2.992284 10.257128
10910 -6.456879 7.224517
15086 0.238917 12.654592
18715 1.526812 7.235975
18881 1.913550 6.957394
22540 6.623831 -0.366428
32332 -2.860438 10.476590
32987 -3.259556 0.917769
56476 7.335569 6.525225
56491 1.421083 5.716101
77132 -3.255351 10.592037
87057 2.371444 6.898545
91104 -3.056582 10.320970
92629 1.471376 6.856948
94811 2.049147 7.336459
101425 1.394513 8.665454
101472 2.426188 6.438549
105534 1.800770 6.892189
106740 7.456439 6.428924
107079 1.629062 4.493308
27163 3.590331 4.167510
30196 3.523562 18.934601
69453 9.277764 18.943567
62577 -2.644382 -1.434172
41416 8.636377 5.310208
2289 6.273200 9.709727
8986 8.272344 5.550685
11816 8.799919 5.169411
14900 -2.953658 10.169044
16350 8.687747 5.018077
17933 6.146394 10.699486
21286 14.747634 9.699937
26130 0.393787 16.676603
27372 8.587040 5.056402
34619 4.573068 8.861726
36848 8.914913 5.127081
39005 7.986413 5.495254
44882 8.551760 5.431129
44985 8.494796 5.776089
49669 9.816835 4.781881
50989 0.336833 11.853239
57213 -10.491191 1.519690
57274 8.567291 5.505545
64517 -0.214868 -6.945889
70989 6.307926 9.827740
76143 8.454281 5.581034
84495 8.377219 5.413465
100327 8.227301 5.471363
107928 8.748962 4.837954
2716 8.041977 6.879068
24261 8.313315 5.724294
26457 8.813326 5.515499
35797 15.591544 17.261648
36252 8.281200 5.539984
36887 9.006466 4.875399
38981 7.844945 6.602018
44944 8.238442 5.656488
48594 8.032125 7.634676
55138 8.634296 5.380323
60537 8.151385 5.621203
61531 7.482702 0.910036
66606 8.189572 5.756117
75378 8.316130 5.944526
80421 14.860579 17.614418
107949 8.466876 5.794591
14364 -6.478744 14.106451
14954 -6.675538 14.667008
30142 -6.377432 13.848863
58039 -3.930253 -0.946007
67531 -6.653923 14.886209
74250 -6.634006 14.921906
76875 -6.403820 13.978552
77912 -6.631862 14.956414
89222 -6.644282 14.363331
12366 10.212661 2.977017
37675 2.090789 19.378225
37913 10.322343 3.158305
59316 10.331300 2.932024
73333 10.347649 2.882053
76328 10.404258 2.971805
82865 -5.421514 1.325250
91966 -4.874066 2.056575
2139 6.609544 5.713407
4230 8.531949 8.912531
8810 5.744522 -3.080327
18654 7.652368 3.669424
19822 7.471856 5.206052
23154 7.502822 7.876150
24205 6.226277 4.888856
37298 8.891292 9.215197
39620 6.771651 5.737489
39976 5.789201 -3.341392
40271 9.207468 10.474773
40494 10.900212 -6.818597
45501 8.383715 7.784821
48307 5.857378 6.354799
49559 6.013003 17.212650
51419 -8.441793 -0.192614
51728 11.664095 6.157984
54127 8.523685 8.786482
56193 8.118029 -1.235487
57195 9.313784 8.642418
57846 11.691304 5.755799
61084 11.717929 6.130075
61537 6.524029 5.191711
62113 11.926959 6.509207
62258 12.164097 6.805627
62859 8.610701 8.778214
62958 5.771236 9.095601
65268 6.695353 4.939028
68754 -10.327109 10.845859
70961 7.841423 17.439724
75966 4.344719 -1.621546
79145 7.895214 3.765528
84612 6.600231 5.279929
87756 6.579971 5.994122
93278 4.222890 -1.677848
93922 8.470505 8.910334
95776 6.183601 6.115149
97254 6.780981 5.507704
97721 8.313144 8.406914
97788 9.867534 10.510952
107324 5.934210 6.263685
21442 1.405063 1.793817
8939 -4.740883 0.404649
31033 -0.948229 1.720615
37399 3.633775 -0.430002
39026 1.855199 1.577960
50858 4.178459 2.290358
64465 2.739068 6.610349
102440 1.829505 3.564534
105108 -1.220991 3.135418
3249 -1.274917 3.231616
6301 -1.258682 3.011364
26492 13.098075 6.267334
37470 -0.808261 3.380706
44786 -1.303053 3.189079
72149 -1.203703 2.877884
77024 14.971710 12.510121
95441 -9.113629 25.330158
4341 13.001513 6.759930
23923 13.058480 6.620341
34453 13.028440 6.754311
37969 1.304453 2.205838
50143 12.686095 6.970875
52726 5.041809 11.511551
60518 -8.030296 8.912606
62832 13.054995 6.720223
63865 2.261899 6.717611
64531 12.849693 7.003700
70896 14.700543 14.699502
78701 12.842691 7.022868
87160 7.383143 12.175576
35386 -5.993859 -5.564317
13719 -6.009484 -5.624341
30546 -6.053723 -5.710243
38080 20.728830 3.065900
61625 -4.949650 8.649937
72438 -5.792630 -5.143439
74214 -6.039850 -5.673851
76056 -6.079969 -5.734524
80496 -5.854501 -5.222970
99423 -5.805701 -5.180069
99879 -6.067553 -5.725872
16108 -0.162464 -0.390677
80883 6.200708 -1.632712
92034 10.120939 0.004610
95953 9.313351 0.601260
101067 0.203152 8.572951
19882 -13.147503 13.571515
